LAYER_L;BLK_NAME;W_L;X1;Y1;X2;Y2;
0;;0;1.5189e+08;1.85686e+08;1.5189e+08;1.85486e+08;
0;;0;1.5039e+08;1.85686e+08;1.5039e+08;1.85486e+08;
0;;0;1.5609e+08;1.76686e+08;1.5609e+08;1.76836e+08;
0;;0;1.5609e+08;1.76836e+08;1.5607e+08;1.76911e+08;
0;;0;1.5607e+08;1.76911e+08;1.56015e+08;1.76966e+08;
0;;0;1.56015e+08;1.76966e+08;1.5594e+08;1.76986e+08;
0;;0;1.5594e+08;1.76986e+08;1.5484e+08;1.76986e+08;
0;;0;1.5484e+08;1.76986e+08;1.54765e+08;1.76966e+08;
0;;0;1.54765e+08;1.76966e+08;1.54711e+08;1.76911e+08;
0;;0;1.54711e+08;1.76911e+08;1.5469e+08;1.76836e+08;
0;;0;1.5469e+08;1.76686e+08;1.5469e+08;1.76836e+08;
0;;0;1.5469e+08;1.76686e+08;1.5439e+08;1.76686e+08;
0;;0;1.5639e+08;1.76686e+08;1.5609e+08;1.76686e+08;
0;;0;1.5439e+08;1.76686e+08;1.5439e+08;1.77586e+08;
0;;0;1.5639e+08;1.76686e+08;1.5639e+08;1.77586e+08;
0;;0;1.5069e+08;1.86586e+08;1.5069e+08;1.86436e+08;
0;;0;1.5144e+08;1.86286e+08;1.51515e+08;1.86307e+08;
0;;0;1.51515e+08;1.86307e+08;1.5157e+08;1.86361e+08;
0;;0;1.5157e+08;1.86361e+08;1.5159e+08;1.86436e+08;
0;;0;1.5084e+08;1.86286e+08;1.5144e+08;1.86286e+08;
0;;0;1.5069e+08;1.86436e+08;1.50711e+08;1.86361e+08;
0;;0;1.50711e+08;1.86361e+08;1.50765e+08;1.86307e+08;
0;;0;1.50765e+08;1.86307e+08;1.5084e+08;1.86286e+08;
0;;0;1.5039e+08;1.86586e+08;1.5069e+08;1.86586e+08;
0;;0;1.5159e+08;1.86586e+08;1.5189e+08;1.86586e+08;
0;;0;1.5159e+08;1.86586e+08;1.5159e+08;1.86436e+08;
0;;0;1.5189e+08;1.86586e+08;1.5189e+08;1.85686e+08;
0;;0;1.5039e+08;1.86586e+08;1.5039e+08;1.85686e+08;
0;;0;1.5159e+08;1.76686e+08;1.5159e+08;1.76836e+08;
0;;0;1.5159e+08;1.76686e+08;1.5189e+08;1.76686e+08;
0;;0;1.5039e+08;1.76686e+08;1.5069e+08;1.76686e+08;
0;;0;1.5069e+08;1.76686e+08;1.5069e+08;1.76836e+08;
0;;0;1.5159e+08;1.76836e+08;1.5157e+08;1.76911e+08;
0;;0;1.5157e+08;1.76911e+08;1.51515e+08;1.76966e+08;
0;;0;1.51515e+08;1.76966e+08;1.5144e+08;1.76986e+08;
0;;0;1.5144e+08;1.76986e+08;1.5084e+08;1.76986e+08;
0;;0;1.5084e+08;1.76986e+08;1.50765e+08;1.76966e+08;
0;;0;1.50765e+08;1.76966e+08;1.50711e+08;1.76911e+08;
0;;0;1.50711e+08;1.76911e+08;1.5069e+08;1.76836e+08;
0;;0;1.5189e+08;1.77586e+08;1.5189e+08;1.76686e+08;
0;;0;1.5039e+08;1.77586e+08;1.5039e+08;1.76686e+08;
0;;0;1.5469e+08;1.86586e+08;1.5469e+08;1.86436e+08;
0;;0;1.5484e+08;1.86286e+08;1.5594e+08;1.86286e+08;
0;;0;1.5594e+08;1.86286e+08;1.56015e+08;1.86307e+08;
0;;0;1.56015e+08;1.86307e+08;1.5607e+08;1.86361e+08;
0;;0;1.5607e+08;1.86361e+08;1.5609e+08;1.86436e+08;
0;;0;1.5609e+08;1.86586e+08;1.5609e+08;1.86436e+08;
0;;0;1.5469e+08;1.86436e+08;1.54711e+08;1.86361e+08;
0;;0;1.54711e+08;1.86361e+08;1.54765e+08;1.86307e+08;
0;;0;1.54765e+08;1.86307e+08;1.5484e+08;1.86286e+08;
0;;0;1.5469e+08;1.86586e+08;1.5439e+08;1.86586e+08;
0;;0;1.5639e+08;1.86586e+08;1.5609e+08;1.86586e+08;
0;;0;1.5439e+08;1.85686e+08;1.5439e+08;1.86586e+08;
0;;0;1.5639e+08;1.85686e+08;1.5639e+08;1.86586e+08;
0;;0;1.5049e+08;1.80661e+08;1.5049e+08;1.81011e+08;
0;;0;1.5049e+08;1.80661e+08;1.5159e+08;1.80661e+08;
0;;0;1.5049e+08;1.81011e+08;1.5159e+08;1.81011e+08;
